rank,name,confed,off,def,spi
171,Hong Kong,AFC,0.43,1.9,14.37
172,Sao Tome and Principe,CAF,0.81,2.63,14.31
173,Andorra,UEFA,0.42,1.92,14.07
174,Philippines,AFC,0.53,2.17,13.85
175,Belize,CONCACAF,0.5,2.16,13.36
176,Guadeloupe,CONCACAF,0.62,2.45,12.91
177,Singapore,AFC,0.61,2.43,12.8
178,Dominica,CONCACAF,0.42,2.08,12.53
179,Mauritius,CAF,0.57,2.41,12.3
180,Papua New Guinea,OFC,0.69,2.65,12.25
181,St. Vincent and the Grenadines,CONCACAF,0.62,2.58,11.74
182,Gibraltar,UEFA,0.48,2.31,11.59
183,Afghanistan,AFC,0.59,2.59,11.12
184,Barbados,CONCACAF,0.4,2.24,10.69
185,Nepal,AFC,0.49,2.74,8.52
186,Yemen,AFC,0.35,2.42,8.5
187,Somalia,CAF,0.51,2.81,8.44
188,Aruba,CONCACAF,0.56,3.0,7.91
189,Liechtenstein,UEFA,0.36,2.66,7.2
190,Djibouti,CAF,0.64,3.32,7.18
191,Seychelles,CAF,0.38,2.73,7.01
192,Mongolia,AFC,0.23,2.47,6.41
193,San Marino,UEFA,0.26,2.78,5.33
194,Bahamas,CONCACAF,0.37,3.07,5.29
195,Bonaire,CONCACAF,0.45,3.3,5.24
196,Maldives,AFC,0.34,3.08,4.93
197,Bangladesh,AFC,0.2,2.79,4.56
198,Myanmar,AFC,0.48,3.62,4.32
199,Cayman Islands,CONCACAF,0.27,3.08,4.24
200,Chinese Taipei,AFC,0.45,3.59,4.23
201,Cambodia,AFC,0.33,3.48,3.55
202,Guam,AFC,0.5,4.06,3.22
203,Northern Mariana Islands,AFC,0.47,4.22,2.72
204,St. Martin,CONCACAF,0.25,3.81,2.16
205,Sri Lanka,AFC,0.24,3.84,2.05
206,Anguilla,CONCACAF,0.22,3.83,1.94
207,Brunei,AFC,0.21,3.93,1.78
208,Pakistan,AFC,0.2,3.92,1.71
209,Laos,AFC,0.2,4.07,1.49
210,US Virgin Islands,CONCACAF,0.2,4.16,1.38
211,British Virgin Islands,CONCACAF,0.25,4.5,1.21
212,Bhutan,AFC,0.22,4.62,0.98
213,Cook Islands,OFC,0.2,4.72,0.85
214,Sint Maarten,CONCACAF,0.28,5.21,0.72
215,Tuvalu,OFC,0.38,5.62,0.7
216,Timor-Leste,AFC,0.27,5.25,0.69
217,Macau,AFC,0.2,5.11,0.6
218,Turks and Caicos Islands,CONCACAF,0.43,6.27,0.47
219,Samoa,OFC,0.2,5.78,0.34
220,Tonga,OFC,0.2,6.08,0.26
